Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
30;21100367773;"IEEE/CAA Journal of Automatica Sinica";journal;"23299266, 23299274";"IEEE Advancing Technology for Humanity";No;No;3,863;Q1;99;288;595;11342;9257;483;14,69;39,38;29,76;0;22;United States;Northern America;"IEEE Advancing Technology for Humanity";"2014-2025";"Artificial Intelligence (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Information Systems (Q1)";"Computer Science; Engineering; Mathematics"
31;17339;"IEEE Transactions on Automatic Control";journal;"00189286, 15582523";"Institute of Electrical and Electronics Engineers Inc.";No;No;3,804;Q1;344;998;2070;36865;15976;2070;7,44;36,94;21,71;0;26;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
32;12396;"Journal of Strategic Information Systems";journal;"09638687";"Elsevier B.V.";No;No;3,765;Q1;114;27;68;2121;834;51;11,93;78,56;40,35;1;6;Netherlands;Western Europe;"Elsevier B.V.";"1991-2025";"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
33;21101073279;"Annual Review of Control, Robotics, and Autonomous Systems";journal;"25735144";"Annual Reviews Inc.";No;No;3,690;Q1;46;17;71;1864;1324;71;17,07;109,65;22,22;1;6;United States;Northern America;"Annual Reviews Inc.";"2018-2024";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1)";"Computer Science; Engineering"
34;21100235616;"IEEE Transactions on Neural Networks and Learning Systems";journal;"2162237X, 21622388";"IEEE Computational Intelligence Society";No;No;3,686;Q1;269;1991;2021;97654;31905;2010;13,72;49,05;29,47;0;95;United States;Northern America;"IEEE Computational Intelligence Society";"2012-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Software (Q1)";"Computer Science"
35;21100338322;"IEEE Geoscience and Remote Sensing Magazine";journal;"24732397, 21686831";"Institute of Electrical and Electronics Engineers Inc.";No;No;3,662;Q1;68;81;152;9284;2376;149;16,39;114,62;29,72;0;14;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2013-2025";"Computer Science (miscellaneous) (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1)";"Computer Science; Earth and Planetary Sciences; Engineering; Physics and Astronomy"
36;15700;"Journal of Management Information Systems";journal;"1557928X, 07421222";"M.E. Sharpe Inc.";No;No;3,652;Q1;177;46;136;3493;1170;125;6,50;75,93;24,19;0;6;United States;Northern America;"M.E. Sharpe Inc.";"1987-2024";"Computer Science Applications (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
37;14966;"Journal of Manufacturing Systems";journal;"02786125";"Elsevier B.V.";No;No;3,633;Q1;120;246;662;15972;12977;653;17,62;64,93;23,95;0;129;Netherlands;Western Europe;"Elsevier B.V.";"1982-2025";"Control and Systems Engineering (Q1); Hardware and Architecture (Q1); Industrial and Manufacturing Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
38;24242;"IEEE Transactions on Fuzzy Systems";journal;"10636706";"Institute of Electrical and Electronics Engineers Inc.";No;No;3,614;Q1;228;646;1148;28848;14780;1144;12,76;44,66;31,30;0;45;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993-2025";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Control and Systems Engineering (Q1)";"Computer Science; Engineering; Mathematics"
39;12321;"Information Systems Journal";journal;"13501917, 13652575";"Wiley-Blackwell Publishing Ltd";No;No;3,599;Q1;114;88;132;8367;1462;110;8,54;95,08;38,33;2;23;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1991-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
